message,sentiment
Can we reschedule our meeting? ,neutral
Can you remind me of the details?,neutral
Can you send me the link to the article you mentioned earlier?,neutral
Hey what's up?,neutral
How original of you to go that route,passive-aggressive
How original of you to take that approach,passive-aggressive
I always appreciate your unique perspective,passive-aggressive
I appreciate your unique approach to the situation It's certainly one way to handle things,passive-aggressive
I can't wait to come back here,neutral
"I didn't expect that, but it's good to see some variety",passive-aggressive
I don't care about this,neutral
I don't care about this subject,neutral
I don't care one way or the other,neutral
I don't care one way or the other,neutral
I don't feel strongly about this,neutral
I don't have a particular interest in this,neutral
I don't have a preference,neutral
I don't have a preference,neutral
I don't have an opinion on this,neutral
I don't have strong feelings about this,neutral
I don't have strong feelings either way,neutral
I don't know if I have time for that,neutral
I don't know what I want to eat,neutral
I don't know what to make of this,neutral
I don't know what to think about this,neutral
I don't really care about this,neutral
I don't really care about this topic,neutral
I don't really have an opinion on this,neutral
I enjoyed every moment of my vacation,neutral
I enjoyed this very much,neutral
I had a great experience,neutral
I had a great time,neutral
I had a wonderful time at the event,neutral
I had an amazing date last night,neutral
I had an amazing time at the party,neutral
I had the best sushi for lunch today at this restaurant: http://wwwsushifusioncom,neutral
I had the best vacation ever!,neutral
I have a dentist appointment tomorrow at 2pm ,neutral
I have mixed feelings about this,neutral
I have mixed feelings about this,neutral
I have no interest in this,neutral
I have no opinion on this,neutral
I have no opinion on this,neutral
I have no opinion on this,neutral
I have no opinion on this,neutral
I have no opinion on this,neutral
I have no particular interest in this,neutral
I have no preference,neutral
I have no preference,neutral
I have no preference,neutral
I have no strong emotions about this,neutral
I have no strong feelings about this,neutral
I have no strong feelings about this,neutral
I have no strong feelings about this,neutral
I have no strong feelings one way or the other,neutral
I have no strong opinion about this,neutral
I have no strong opinion on this,neutral
I have no strong opinions about this,neutral
I have no strong opinions on this,neutral
I just achieved a major milestone in my personal life!,neutral
I just achieved a personal goal I set for myself!,neutral
I just booked a trip to Italy and I'm so excited! ,neutral
I just completed a 5K run in 25 minutes! ,neutral
I just completed a difficult task and it feels amazing!,neutral
I just completed a challenging workout! ,neutral
I just completed a marathon!,neutral
I just finished a painting that I'm really proud of! ,neutral
I just finished a project I've been working on for months!,neutral
I just finished reading an amazing book that I highly recommend! ,neutral
I just got a great grade on a test I studied hard for! ,neutral
I just got a new puppy and he's the cutest thing ever!,neutral
I just got a promotion at work!,neutral
I just got a raise and my salary is now $75000! ,neutral
I just got a surprise visit from an old friend!,neutral
I just got a text from my crush asking me out on a date! ,neutral
I just had the best cup of coffee at this new cafe in town: https://wwwcafeculturecom ,neutral
I just received a compliment from my boss,neutral
I just received a promotion at work! ,neutral
I just received a thoughtful gift from someone special,neutral
I just won first place in a competition!,neutral
I love exploring new places and cultures,neutral
I love going on adventures and exploring new things ,neutral
I love how you always keep us guessing,passive-aggressive
I love learning new things and expanding my knowledge,neutral
I love my new dress that I got on sale for only $50! ,neutral
I love my new job and the people I work with! ,neutral
I love seeing my favorite band live in concert!,neutral
